Keywords,Dislike,Like,Like1,Content,propertycard__styledlinkm1ur0x3_URL,propertycard__styledlinkm1ur0x3,propertycard__styledlinkm1ur0x32,Dislike3
NEW,"$409,900 ",4bd,3ba,"1,428 sqft",https://www.trulia.com/p/ma/brockton/79-crane-rd-brockton-ma-02302--2001899238,79 Crane Rd,"Brockton, MA","KEVIN FITZGERALD, SUCCESS! REAL ESTATE"
"NEW
AUCTION","$375,000 ",5bd,2ba,"1,678 sqft",https://www.trulia.com/p/ma/rockland/49-custer-st-rockland-ma-02370--2002014910,49 Custer St,"Rockland, MA",
NEW,"$469,900 ",3bd,3ba,"1,582 sqft",https://www.trulia.com/p/ma/east-bridgewater/1667-central-st-east-bridgewater-ma-02333--2001920906,1667 Central St,"East Bridgewater, MA","KIM DAVIS, KELLER WILLIAMS REALTY"
,"$479,000 ",4bd,3ba,"1,740 sqft",https://www.trulia.com/p/ma/brockton/456-ash-st-brockton-ma-02301--1084185394,456 Ash St,"Brockton, MA","ANTHONY STANTON, BOSTON REALTY COMPANY"
NEW,"$429,900 ",3bd,2ba,"1,245 sqft",https://www.trulia.com/p/ma/brockton/24-poole-st-brockton-ma-02301--2001882032,24 Poole St,"Brockton, MA","ADELINO VICENTE, VICENTE REALTY, LLC"
,"$399,999 ",2bd,2ba,"1,500 sqft",https://www.trulia.com/p/ma/norwell/135-norwell-ave-norwell-ma-02061--2001337343,135 Norwell Ave,"Norwell, MA","JORGE ANDRES ZEA, JORGE ANDRES ZEA"
NEW,"$499,990 ",3bd,2ba,"1,474 sqft",https://www.trulia.com/p/ma/abington/165-colonel-hunt-dr-abington-ma-02351--2001954634,165 Colonel Hunt Dr,"Abington, MA","MANNY REYNOSO, CAMERON REAL ESTATE GROUP"
NEW,"$250,000 ",2bd,2ba,"1,059 sqft",https://www.trulia.com/p/ma/brockton/685-oak-st-24-brockton-ma-02301--2001888175,685 Oak St #24,"Brockton, MA","DONNA CHASE, WILLIAM RAVEIS R.E. & HOME SERVICES"
,"$415,000 ",1bd,2ba,"1,237 sqft",https://www.trulia.com/p/ma/mattapoisett/21-county-rd-mattapoisett-ma-02739--2002471253,21 County Rd,"Mattapoisett, MA","SANDY D. GALAVOTTI, DAWSON REAL ESTATE"
NEW,"$329,900 ",2bd,2ba,"1,257 sqft",https://www.trulia.com/p/ma/hull/9-park-ave-503-hull-ma-02045--2001302101,9 Park Ave #503,"Hull, MA","TODD SANDLER, TODD A. SANDLER REALTORS®"
,"$439,500 ",4bd,2ba,"2,248 sqft",https://www.trulia.com/p/ma/kingston/105-main-st-kingston-ma-02364--1043545157,105 Main St,"Kingston, MA","THE ANCHOR TEAM, JANE COIT REAL ESTATE, INC."
,"$415,000 ",4bd,2ba,"1,757 sqft",https://www.trulia.com/p/ma/wareham/18-spruce-st-wareham-ma-02571--1086408153,18 Spruce St,"Wareham, MA","JANET MAXIM, CAPE LANDING REAL ESTATE"
,"$459,900 ",3bd,3ba,"2,167 sqft",https://www.trulia.com/p/ma/plymouth/32-hedge-rd-e-plymouth-ma-02360--2001983349,32 Hedge Rd #E,"Cordage, Plymouth, MA","LYNNE MOREY, COLDWELL BANKER REALTY - PLYMOUTH"
,"$499,900 ",7bd,2ba,"4,720 sqft",https://www.trulia.com/p/ma/wareham/709-main-st-wareham-ma-02571--2002274793,709 Main St,"Wareham, MA","JULIE JOHNSON, JACK CONWAY - CONWAY ON THE BAY"
NEW,"$520,000 ",3bd,2ba,"1,568 sqft",https://www.trulia.com/p/ma/lakeville/4-joshua-ln-lakeville-ma-02347--2001951945,4 Joshua Ln,"Lakeville, MA","Kenneth  Leonard, Cape Cod Ken Real Estate"
,"$499,900 ",4bd,2ba,"2,539 sqft",https://www.trulia.com/p/ma/pembroke/29-hatch-rd-pembroke-ma-02359--2001966896,29 Hatch Rd,"Pembroke, MA","DEREK NIELSEN, EXIT REALTY ALL STARS"
,"$269,000 ",3bd,2ba,"1,376 sqft",https://www.trulia.com/p/ma/brockton/112-laureston-st-brockton-ma-02301--1082463032,112 Laureston St,"Brockton, MA","HAI VO, KELLER WILLIAMS REALTY"
